年,時代 (ベトナム),イベント (ベトナム),時代 (日本),イベント (日本)
1709年,,,,新井白石の政治(～1716年)
1716年,,,,享保の改革(～1745年)
1721年,,,,幕府が目安箱を設置
1722年,,,,幕府が上げ米の制度を定める
1767年,,,,田沼意次が側用人となる
1782年,,,,天明の飢饉(～1787年)
1786年,西山朝,西山朝,,
1787年,,,,寛政の改革(～1793年)
1788年,,ドンダーの戦い,,
1802年,阮朝,阮朝のベトナム統一,,
1825年,,,,異国船打払令を発布
1837年,,,,大塩平八郎による大塩の乱が起こる
1841年,,,,天保の改革(～1843年)
1853年,,,,黒船来航(ペリーが浦賀に来航する)
1858年,,,,日米修好通商条約締結、安政の大獄
1860年,,,,桜田門外の変で、井伊直弼が暗殺される
1862年,,,,和宮降嫁
1863年,,,,薩英戦争
1864年,,,,禁門の変、第一次長州征伐
1866年,,,,薩長同盟が成立(坂本龍馬が貢献)
1867年,,,,"徳川慶喜が大政奉還
王政復古の大号令で明治新政府が樹立"
1868年,,,明治時代,戊辰戦争(～1869年)
1871年,,,,廃藩置県
1873年,,,,明治六年の政変(征韓論争)
1874年,,,,板垣退助らが民選議員設立の建白書を提出
1877年,,,,西南戦争
1881年,,,,明治十四年の政変
1887年,フランス領インドシナ,1887年 - 1945年,,
1889年,,,,大日本帝国憲法が公布される
1890年,,,,第一回衆議院議員選挙
1894年,,,,"治外法権の回復に成功
日清戦争(～1895年)"
1902年,,,,日英同盟締結
1904年,,,,日露戦争(～1905年)
1905年,,ファン・ボイ・チャウは、日本に留学生を送り出す東遊運動（ドンズー運動）を展開した,,
1910年,,,,韓国併合
1911年,,,,関税自主権の回復に成功
1912年,,,大正時代,第一次護憲運動(～1913年)
1914年,,,,第一次世界大戦(～1918年)
1917年,,ロシア革命によってソビエト連邦が成立すると、コミンテルンが結成され植民地解放を支援した,,
1923年,,,,関東大震災
1925年,,,,治安維持法、普通選挙法成立
1930年,,グエン・タイ・ホックらベトナム国民党がイエンバイ省でイエンバイ蜂起を起こし、その後、ゲアン省とハティン省でゲティン・ソヴィエト（ベトナム語: Xô Viết Nghệ Tĩnh、Nghe-Tinh soviet）の蜂起が起こった。,,
1931年,,,昭和時代,満州事変
1932年,,,,5・15事件
1936年,,,,2・26事件
1937年,,,,日中戦争(～1945年)
1940年,,第二次世界大戦,,日独伊三国同盟締結
1941年,,,,太平洋戦争(～1945年)
1944年,,ベトナム北部を中心に激しい飢饉が発生した,,
1945年,南北分断時代,"インドシナ共産党の全国大会がタンチャオ（トゥエンクアン省）で開かれた。
ホー・チ・ミンは臨時政府を代表してベトナム独立宣言を厳かに読み上げ、国民と世界に向けてベトナム民主共和国の誕生を宣言した。",,日本無条件降伏
1946年,,,,日本国憲法が公布(1947年に施行)
1950年,,,,朝鮮戦争勃発(1953年7月27日休戦)
1951年,,,,サンフランシスコ平和条約調印
1951年,,,,日米安全保障条約調印
1954年,,,,自衛隊設置
1956年,,,,日ソ共同宣言
1959年,,,,安保闘争
1964年,,,,東京オリンピック1964開催
1965年,,アメリカ軍による北爆によってベトナム戦争が始まった,,日韓基本条約締結
1972年,,,,"沖縄返還
日中共同声明"
1973年,,,,オイルショック
1975年,,サイゴン陥落によって、親米政権が倒された。ベトナム戦争が終わり。,,
1976年,ベトナム社会主義共和国,ベトナム社会主義共和国が成立して、統一ベトナムが実現した事に始まる。,,
1989年,,,平成時代,"昭和天皇崩御 平成に改元
消費税開始(3%)"
1991年,,"ソ連解体
中国との和解を果たした",,"湾岸戦争
ソ連崩壊
バブル経済崩壊"
1992年,,ベトナムが新憲法公布（１９９２年憲法）,,
1993年,,フランスとの和解を果たした,,Jリーグ開幕
1994年,,ラオス・タイ間に「友好の橋」開通　・・・　ラオスとしては初めてタイへの陸路を獲得,,
1995年,,"ベトナムがＡＳＥＡＮに加盟
アメリカ合衆国との和解を果たした",,"阪神淡路大震災
地下鉄サリン事件"
1997年,,,,消費税が5%へ
1998年,,,,長野オリンピック開催
1999年,,,,東海村JCO臨界事故
2001年,,,,アメリカ同時多発テロ
2002年,,,,日朝平壌宣言
2004年,,ベトナム入国に際し、日本人（日本国籍の旅券を所持）の場合は、観光目的で15日以内の滞在に限り、ビザが不要となる。,,
2007年,,ベトナムがＷＴＯ（世界貿易機構）に加盟（１５０番目の加盟国）,,
2008年,,ベトナムが国連安全保障理事会の非常任理事国になる。,,
2010年,,ハノイ建都１０００年祭,,
2011年,,,,東日本大震災
2012年,,,,東京スカイツリー開業
2014年,,,,消費税が8%へ
2016年,,,,熊本地震
2019年,,,令和時代,"5月 元号『令和』へ改元
6月 G20サミット"
