Mục,Phân loại,Xuất phát,Điểm đến,Bắt đầu,Kết thúc,Khoảng thời gian,Chú thích
1,Di chuyển,赤羽駅（東京）,飯盛山（福島）,08:30,12:50,4:20,,
2,Ăn trưa,飯盛山,-,12:50,13:30,00:40,,
3,Thăm quan,飯盛山,-,13:30,14:30,01:00,,
4,Di chuyển,飯盛山,鶴ヶ城,14:30,15:20,00:50,,
5,Thăm quan,鶴ヶ城,-,14:30,16:40,02:10,,
6,Di chuyển,鶴ヶ城,ホテル（猪苗代湖の周辺）,16:40,18:30,01:50,,
7,Ăn tối,ホテル（猪苗代湖の周辺）,-,18:30,22:00,03:30,Mua đồ nấu lẩu ở ngoài về khách sạn nấu,
8,Nghỉ ngơi,ホテル（猪苗代湖の周辺）,-,22:00,-,-,Tắm nước nóng của khách sạn,
